game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
7,7,ai2,Ms Demi Graphic,demographic,2,159064.0,1837994.0,1911291.0,16350.0
7,8,player,You,player,3,841222.0,981045.0,1476046.0,0.0
7,8,ai1,Ms Di Vidend,yield,2,229889.0,1877940.0,1621479.0,0.0
7,8,ai2,Ms Demi Graphic,demographic,2,151111.0,1928776.0,1911291.0,16350.0
7,9,player,You,player,3,814657.0,1049458.0,1476046.0,0.0
7,9,ai1,Ms Di Vidend,yield,2,222629.0,1961372.0,1621479.0,0.0
7,9,ai2,Ms Demi Graphic,demographic,2,146339.0,2000489.0,1911291.0,16350.0
7,10,player,You,player,3,783665.0,1118633.0,1476046.0,0.0
7,10,ai1,Ms Di Vidend,yield,2,214160.0,2044586.0,1621479.0,0.0
7,10,ai2,Ms Demi Graphic,demographic,2,140772.0,2083897.0,1911291.0,16350.0
7,11,player,You,player,3,757100.0,1169744.0,1476046.0,0.0
7,11,ai1,Ms Di Vidend,yield,3,258070.0,2047118.0,1621479.0,0.0
7,11,ai2,Ms Demi Graphic,demographic,2,136000.0,2137451.0,1911291.0,16350.0
7,12,player,You,player,4,756344.0,1210207.0,1476046.0,0.0
7,12,ai1,Ms Di Vidend,yield,3,242240.0,2090658.0,1621479.0,0.0
7,12,ai2,Ms Demi Graphic,demographic,3,211277.0,2106088.0,1911291.0,16350.0
7,13,player,You,player,4,768521.0,1255208.0,1476046.0,0.0
7,13,ai1,Ms Di Vidend,yield,4,259930.0,2111888.0,1621479.0,0.0
7,13,ai2,Ms Demi Graphic,demographic,3,198337.0,2144878.0,1911291.0,16350.0
7,14,player,You,player,4,777804.0,1306609.0,1476046.0,0.0
7,14,ai1,Ms Di Vidend,yield,4,251958.0,2162927.0,1621479.0,0.0
7,14,ai2,Ms Demi Graphic,demographic,4,238895.0,2143174.0,1911291.0,16350.0
7,15,player,You,player,4,785678.0,1359655.0,1476046.0,0.0
7,15,ai1,Ms Di Vidend,yield,5,297269.0,2172478.0,1621479.0,0.0
7,15,ai2,Ms Demi Graphic,demographic,4,239200.0,2202425.0,1911291.0,16350.0
7,16,player,You,player,4,785678.0,1429379.0,1476046.0,0.0
7,16,ai1,Ms Di Vidend,yield,5,300627.0,2231785.0,1621479.0,0.0
7,16,ai2,Ms Demi Graphic,demographic,5,382538.0,2098980.0,1911291.0,16350.0
7,17,player,You,player,4,804283.0,1488704.0,1476046.0,0.0
7,17,ai1,Ms Di Vidend,yield,5,302218.0,2316985.0,1621479.0,0.0
7,17,ai2,Ms Demi Graphic,demographic,6,624122.0,1960960.0,1911291.0,16350.0
7,18,player,You,player,4,832190.0,1547850.0,1476046.0,0.0
7,18,ai1,Ms Di Vidend,yield,6,435590.0,2254512.0,1621479.0,0.0
7,18,ai2,Ms Demi Graphic,demographic,7,1160727.0,1542370.0,1911291.0,16350.0
